,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,short_inspect_date,short_violation_id,inspect_date,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
1567,1567,1567,6044,90409,McDonald's,1201 Ocean Ave,San Francisco,CA,94112,,,,14155458819.0,90409_20170927,9/27/2017 0:00,92.0,Routine - Unscheduled,90409_20170927_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20170927,103119,2017-09-27,0,0,3,0,3,0,0
1571,1571,1571,6052,91313,Tacos Santo Toribio,928 Toland,San Francisco,CA,,,,,14155509190.0,91313_20180306,3/6/2018 0:00,,Structural Inspection,91313_20180306_103162,Other low risk violation,Low Risk,20180306,103162,2018-03-06,1,5,0,0,0,0,0
1594,1594,1594,6146,89982,Pakwan Restaurant,1140 Ocean Ave,San Francisco,CA,94112,,,,14155841200.0,89982_20171003,10/3/2017 0:00,,Complaint,89982_20171003_103139,Improper food storage,Low Risk,20171003,103139,2017-10-03,0,5,0,0,6,0,0
1598,1598,1598,6159,93023,Icicles,829 Mission St.,San Francisco,CA,94103,,,,,93023_20171101,11/1/2017 0:00,96.0,Routine - Unscheduled,93023_20171101_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20171101,103124,2017-11-01,0,1,0,0,0,0,0
1601,1601,1601,6171,87909,K and D Market,3177 16th Street,San Francisco,CA,94103,,,,,87909_20171101,11/1/2017 0:00,,New Ownership,87909_20171101_103137,Improperly washed fruits and vegetables,Low Risk,20171101,103137,2017-11-01,0,4,0,0,0,0,0
1614,1614,1614,6219,74549,Performance Service Station Inc.,388 Potrero St,San Francisco,CA,94103,,,,,74549_20171215,12/15/2017 0:00,94.0,Routine - Unscheduled,74549_20171215_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20171215,103119,2017-12-15,0,2,0,0,4,0,0
1619,1619,1619,6251,81202,Weaver's Coffee & Tea,2301 Market St,San Francisco,CA,94114,,,,14155528945.0,81202_20180208,2/8/2018 0:00,,Complaint,81202_20180208_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20180208,103144,2018-02-08,1,0,2,0,0,1,2
1621,1621,1621,6268,84892,Denny's Restaurant,816 Mission St,San Francisco,CA,94103,,,,,84892_20161026,10/26/2016 0:00,,New Ownership,84892_20161026_103142,Unclean nonfood contact surfaces,Low Risk,20161026,103142,2016-10-26,0,0,0,0,2,0,0
1625,1625,1625,6286,69199,Mehfil Indian Restaurant,28 02nd St,San Francisco,CA,94105,,,,,69199_20180223,2/23/2018 0:00,90.0,Routine - Unscheduled,69199_20180223_103139,Improper food storage,Low Risk,20180223,103139,2018-02-23,4,0,0,0,9,0,0
1630,1630,1630,6295,83325,Five Star Truffles,4251 A 18th St,San Francisco,CA,94114,,,,14155555128.0,83325_20180122,1/22/2018 0:00,98.0,Routine - Unscheduled,83325_20180122_103157,Food safety certificate or food handler card not available,Low Risk,20180122,103157,2018-01-22,1,0,0,4,0,0,1
1633,1633,1633,6306,84339,Bon Appetit Management Co,1455 Market St 5th Floor,San Francisco,CA,94103,,,,,84339_20160413,4/13/2016 0:00,96.0,Routine - Unscheduled,84339_20160413_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160413,103124,2016-04-13,0,0,0,0,0,1,0
1641,1641,1641,6346,87469,Bon Appetit Management Co.,1455 Market St 4th Fl,San Francisco,CA,94103,,,,,87469_20160606,6/6/2016 0:00,96.0,Routine - Unscheduled,87469_20160606_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20160606,103119,2016-06-06,0,0,0,0,0,1,0
1646,1646,1646,6373,68321,Capo's,641 Vallejo St,San Francisco,CA,94133,,,,,68321_20160407,4/7/2016 0:00,77.0,Routine - Unscheduled,68321_20160407_103148,No thermometers or uncalibrated thermometers,Low Risk,20160407,103148,2016-04-07,0,5,0,0,0,7,0
1656,1656,1656,6425,74826,"Stuffed, LLC",2788 Mission St,San Francisco,CA,94110,,,,14155641069.0,74826_20170823,8/23/2017 0:00,,Complaint,74826_20170823_103131,Moderate risk vermin infestation,Moderate Risk,20170823,103131,2017-08-23,0,0,6,0,0,6,3
1659,1659,1659,6444,90525,Western Donut,2034 Mission St,San Francisco,CA,94110,,,,,90525_20170314,3/14/2017 0:00,,New Ownership,90525_20170314_103133,Foods not protected from contamination,Moderate Risk,20170314,103133,2017-03-14,5,0,0,0,6,0,0
1682,1682,1682,6564,81245,Green Bar,3 Embarcadero Center  Lobby Level,San Francisco,CA,94111,,,,,81245_20171002,10/2/2017 0:00,94.0,Routine - Unscheduled,81245_20171002_103139,Improper food storage,Low Risk,20171002,103139,2017-10-02,0,3,0,0,0,0,0
1687,1687,1687,6605,74524,Brass Tacks,488 A Hayes St,San Francisco,CA,94102,,,,,74524_20171025,10/25/2017 0:00,92.0,Routine - Unscheduled,74524_20171025_103133,Foods not protected from contamination,Moderate Risk,20171025,103133,2017-10-25,0,2,0,0,1,0,0
1692,1692,1692,6632,71576,La Luna Cupcakes,50 Post St,San Francisco,CA,94104,,,,,71576_20171215,12/15/2017 0:00,92.0,Routine - Unscheduled,71576_20171215_103157,Food safety certificate or food handler card not available,Low Risk,20171215,103157,2017-12-15,0,3,0,0,2,0,0
1695,1695,1695,6642,71327,Jillian's,175 04th St,San Francisco,CA,94103,,,,,71327_20170810,8/10/2017 0:00,,Complaint,71327_20170810_103131,Moderate risk vermin infestation,Moderate Risk,20170810,103131,2017-08-10,0,0,4,0,4,3,0
1700,1700,1700,6666,89788,Sajj,636 02nd St,San Francisco,CA,94107,,,,,89788_20170309,3/9/2017 0:00,,New Ownership,89788_20170309_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20170309,103119,2017-03-09,0,0,0,0,1,0,0
1711,1711,1711,6724,84449,Live Feed,2200 Jerrold Ave Unit Z,San Francisco,CA,94124,,,,,84449_20151120,11/20/2015 0:00,98.0,Routine - Unscheduled,84449_20151120_103156,Permit license or inspection report not posted,Low Risk,20151120,103156,2015-11-20,0,0,0,0,0,0,1
1718,1718,1718,6770,83711,Phil'z Coffee,5 Embarcadero Center,San Francisco,CA,94111,,,,,83711_20180220,2/20/2018 0:00,100.0,Routine - Unscheduled,83711_20180220_103154,Unclean or degraded floors walls or ceilings,Low Risk,20180220,103154,2018-02-20,1,0,0,0,2,0,0
1727,1727,1727,6817,86470,Palou Market Inc,4919 3rd St,San Francisco,CA,94124,,,,,86470_20160316,3/16/2016 0:00,,New Ownership,86470_20160316_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20160316,103149,2016-03-16,0,0,0,0,0,0,2
1745,1745,1745,6917,78705,Vive La Tarte,1160 Howard St,San Francisco,CA,94103,,,,,78705_20160419,4/19/2016 0:00,80.0,Routine - Unscheduled,78705_20160419_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20160419,103144,2016-04-19,0,3,0,0,0,4,0
1753,1753,1753,6950,85927,Domino's 8134,320 Bayshore Blvd,San Francisco,CA,94124,,,,14155648400.0,85927_20180108,1/8/2018 0:00,,Complaint,85927_20180108_103154,Unclean or degraded floors walls or ceilings,Low Risk,20180108,103154,2018-01-08,2,0,4,0,0,0,2
1769,1769,1769,7030,80417,Toast Eatery,160 West Portal Ave,San Francisco,CA,94127,,,,14155602318.0,80417_20161114,11/14/2016 0:00,87.0,Routine - Unscheduled,80417_20161114_103154,Unclean or degraded floors walls or ceilings,Low Risk,20161114,103154,2016-11-14,0,0,0,0,4,0,0
1783,1783,1783,7087,71311,Spiro Coffee,826 Van Ness Ave,San Francisco,CA,94109,,,,,71311_20160610,6/10/2016 0:00,90.0,Routine - Unscheduled,71311_20160610_103156,Permit license or inspection report not posted,Low Risk,20160610,103156,2016-06-10,0,0,0,0,0,4,1
1784,1784,1784,7090,88780,Commissary: Sabella and LaTorre Seafoods,Pier 45  Shed B,San Francisco,CA,94133,,,,,88780_20171218,12/18/2017 0:00,92.0,Routine - Unscheduled,88780_20171218_103150,Improper or defective plumbing,Low Risk,20171218,103150,2017-12-18,0,3,0,0,1,0,0
1787,1787,1787,7108,76294,Naser Mini Mart,2400 San Bruno Ave,San Francisco,CA,94134,,,,,76294_20160610,6/10/2016 0:00,96.0,Routine - Unscheduled,76294_20160610_103138,Improper storage use or identification of toxic substances,Low Risk,20160610,103138,2016-06-10,0,4,0,0,4,2,0
1801,1801,1801,7188,78963,Urban Curry,523 Broadway St,San Francisco,CA,94133,,,,,78963_20160705,7/5/2016 0:00,88.0,Routine - Unscheduled,78963_20160705_103142,Unclean nonfood contact surfaces,Low Risk,20160705,103142,2016-07-05,0,0,0,0,0,5,10
1830,1830,1830,7353,78662,Homeskillet,1001 Market St,San Francisco,CA,94102,,,,,78662_20160913,9/13/2016 0:00,76.0,Routine - Unscheduled,78662_20160913_103131,Moderate risk vermin infestation,Moderate Risk,20160913,103131,2016-09-13,0,0,0,0,0,5,4
1837,1837,1837,7383,65012,Masala Dosa,1375 09th Ave,San Francisco,CA,94122,,,,,65012_20171107,11/7/2017 0:00,,Complaint,65012_20171107_103157,Food safety certificate or food handler card not available,Low Risk,20171107,103157,2017-11-07,0,3,0,0,0,5,0
1838,1838,1838,7387,81290,Terrace Cafe,"2100 Webster St., # 108",San Francisco,CA,94115,,,,,81290_20161121,11/21/2016 0:00,,New Ownership,81290_20161121_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20161121,103149,2016-11-21,0,0,0,0,2,3,0
1842,1842,1842,7408,74245,Foxtail Catering & Events,2565 03rd St Unit#310,San Francisco,CA,94107,,,,,74245_20151021,10/21/2015 0:00,89.0,Routine - Unscheduled,74245_20151021_103118,Employee eating or smoking,Moderate Risk,20151021,103118,2015-10-21,0,0,0,0,2,0,2
1852,1852,1852,7441,80237,Gourmet Catering Bay Area,2200 Jerrold St  Z,San Francisco,CA,94124,,,,,80237_20151120,11/20/2015 0:00,91.0,Routine - Unscheduled,80237_20151120_103102,Unclean hands or improper use of gloves,High Risk,20151120,103102,2015-11-20,0,2,0,0,0,2,2
1857,1857,1857,7469,85856,Allstars Cafe,98 09th St,San Francisco,CA,94103,,,,14155864949.0,85856_20160817,8/17/2016 0:00,80.0,Routine - Unscheduled,85856_20160817_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160817,103124,2016-08-17,0,0,5,0,0,5,4
1866,1866,1866,7508,79750,Simply Delish LLC,5668 03rd St,San Francisco,CA,94124,,,,,79750_20151023,10/23/2015 0:00,94.0,Routine - Unscheduled,79750_20151023_103133,Foods not protected from contamination,Moderate Risk,20151023,103133,2015-10-23,0,0,0,0,0,0,2
1877,1877,1877,7592,81103,Spicy Queen,3809 Geary Blvd,San Francisco,CA,94108,,,,14155571380.0,81103_20160125,1/25/2016 0:00,75.0,Routine - Unscheduled,81103_20160125_103133,Foods not protected from contamination,Moderate Risk,20160125,103133,2016-01-25,0,0,7,0,0,0,7
1881,1881,1881,7620,86781,Peet's Coffee & Tea,1400 Mission St Suite 130,San Francisco,CA,94103,,,,14150868663.0,86781_20180228,2/28/2018 0:00,90.0,Routine - Unscheduled,86781_20180228_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20180228,103119,2018-02-28,3,0,0,0,1,0,0
1886,1886,1886,7656,86371,Torshi Mexiterranean,343 Sansome St Suite 150,San Francisco,CA,94104,,,,14155427788.0,86371_20170929,9/29/2017 0:00,94.0,Routine - Unscheduled,86371_20170929_103120,Moderate risk food holding temperature,Moderate Risk,20170929,103120,2017-09-29,0,0,2,0,0,0,5
1894,1894,1894,7719,69863,Hongry Kong,1975 Bryant,San Francisco,CA,,,,,,69863_20160525,5/25/2016 0:00,94.0,Routine - Unscheduled,69863_20160525_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160525,103124,2016-05-25,2,0,3,0,0,2,0
1907,1907,1907,7838,80302,Project Juice,790 Valencia St,San Francisco,CA,94110,,,,14155853869.0,80302_20161025,10/25/2016 0:00,92.0,Routine - Unscheduled,80302_20161025_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20161025,103119,2016-10-25,0,3,0,0,2,0,0
1910,1910,1910,7843,83403,Ly's Vietnamese Cuisine,1779 Lombard St,San Francisco,CA,94123,,,,,83403_20160912,9/12/2016 0:00,88.0,Routine - Unscheduled,83403_20160912_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160912,103124,2016-09-12,4,0,8,0,0,4,2
1915,1915,1915,7862,78619,Green Olive,50 Post St #58,San Francisco,CA,94104,,,,,78619_20160421,4/21/2016 0:00,85.0,Routine - Unscheduled,78619_20160421_103147,Inadequate ventilation or lighting,Low Risk,20160421,103147,2016-04-21,0,3,0,0,0,5,0
1916,1916,1916,7888,78289,Sam Jordans Bar,4004 03rd St,San Francisco,CA,94124,,,,,78289_20160329,3/29/2016 0:00,100.0,Routine - Unscheduled,78289_20160329_103131,Moderate risk vermin infestation,Moderate Risk,20160329,103131,2016-03-29,0,0,0,0,2,0,4
1936,1936,1936,8002,83636,Sam's Chowder Mobile #4,Off The Grid,San Francisco,CA,,,,,,83636_20160525,5/25/2016 0:00,98.0,Routine - Unscheduled,83636_20160525_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20160525,103144,2016-05-25,1,0,1,0,0,1,0
1938,1938,1938,8014,81094,Pier 39 Ice Cream Shop,Pier 39  Q-112,San Francisco,CA,94133,,,,14155393152.0,81094_20160330,3/30/2016 0:00,98.0,Routine - Unscheduled,81094_20160330_103154,Unclean or degraded floors walls or ceilings,Low Risk,20160330,103154,2016-03-30,0,0,2,0,0,1,1
1949,1949,1949,8070,75166,"Coffee Cultures, Inc.",225 Bush St #120,San Francisco,CA,94104,,,,,75166_20160525,5/25/2016 0:00,94.0,Routine - Unscheduled,75166_20160525_103143,Inadequate warewashing facilities or equipment,Low Risk,20160525,103143,2016-05-25,0,0,5,0,0,3,0
1950,1950,1950,8079,78220,Howard & 6th Street Food Market Inc.,1000 Howard St,San Francisco,CA,94103,,,,,78220_20161005,10/5/2016 0:00,92.0,Routine - Unscheduled,78220_20161005_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20161005,103144,2016-10-05,0,0,4,0,3,4,0
1952,1952,1952,8107,82715,Bon Appetit @ Twitter,875 Stevenson St 2nd Floor,San Francisco,CA,94103,,,,,82715_20160524,5/24/2016 0:00,96.0,Routine - Unscheduled,82715_20160524_103129,Insufficient hot water or running water,Moderate Risk,20160524,103129,2016-05-24,0,0,0,0,0,1,0
1955,1955,1955,8134,86807,Vixi,3611 California St,San Francisco,CA,94118,,,,14155830900.0,86807_20160331,3/31/2016 0:00,98.0,Routine - Unscheduled,86807_20160331_103154,Unclean or degraded floors walls or ceilings,Low Risk,20160331,103154,2016-03-31,0,3,0,0,0,0,1
1959,1959,1959,8148,78241,Javalencia Cafe,3900 03rd St,San Francisco,CA,94124,,,,,78241_20150513,5/13/2015 0:00,88.0,Routine - Unscheduled,78241_20150513_103157,Food safety certificate or food handler card not available,Low Risk,20150513,103157,2015-05-13,0,2,0,0,0,2,4
1971,1971,1971,8232,77791,Sutter Street Cafe,450 Sutter St Suite 7,San Francisco,CA,94108,,,,,77791_20160420,4/20/2016 0:00,91.0,Routine - Unscheduled,77791_20160420_103154,Unclean or degraded floors walls or ceilings,Low Risk,20160420,103154,2016-04-20,0,0,0,2,0,2,2
1975,1975,1975,8291,78983,Red and White Fleet - Zalophus,Pier 43 1/2,San Francisco,CA,94133,,,,,78983_20171219,12/19/2017 0:00,94.0,Routine - Unscheduled,78983_20171219_103129,Insufficient hot water or running water,Moderate Risk,20171219,103129,2017-12-19,0,2,0,0,0,2,0
1988,1988,1988,8469,76633,Whole Foods Market,2001 Market St,San Francisco,CA,94114,,,,14155621430.0,76633_20171020,10/20/2017 0:00,93.0,Routine - Unscheduled,76633_20171020_103109,Unclean or unsanitary food contact surfaces,High Risk,20171020,103109,2017-10-20,0,1,0,0,1,0,2
1991,1991,1991,8479,76511,All Nite Pizza & Foods,5155 03rd St,San Francisco,CA,94124,,,,,76511_20150824,8/24/2015 0:00,88.0,Routine - Unscheduled,76511_20150824_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20150824,103144,2015-08-24,0,0,0,0,4,0,4
1997,1997,1997,8510,83520,The Plant Cafe Organic,2335 03rd St,San Francisco,CA,94107,,,,,83520_20150915,9/15/2015 0:00,93.0,Routine - Unscheduled,83520_20150915_103105,Improper cooling methods,High Risk,20150915,103105,2015-09-15,3,0,0,0,1,0,1
2020,2020,2020,8637,88306,Poki Hub,1130 Ocean Ave,San Francisco,CA,,,,,14155826078.0,88306_20180305,3/5/2018 0:00,96.0,Routine - Unscheduled,88306_20180305_103156,Permit license or inspection report not posted,Low Risk,20180305,103156,2018-03-05,2,0,0,0,2,2,0
2034,2034,2034,8779,76373,Alta CA,1420 Market St,San Francisco,CA,94102,,,,,76373_20160421,4/21/2016 0:00,89.0,Routine - Unscheduled,76373_20160421_103143,Inadequate warewashing facilities or equipment,Low Risk,20160421,103143,2016-04-21,0,0,3,0,0,3,0
2039,2039,2039,8809,79430,City Discount Meat & Grocery Market,2298 Mission St,San Francisco,CA,94110,,,,14155436828.0,79430_20160608,6/8/2016 0:00,70.0,Routine - Unscheduled,79430_20160608_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20160608,103144,2016-06-08,0,0,9,0,0,11,0
2042,2042,2042,8817,85337,Illy Caffe SF_Market St,2349 Market St,San Francisco,CA,94114,,,,14150209234.0,85337_20160411,4/11/2016 0:00,98.0,Routine - Unscheduled,85337_20160411_103150,Improper or defective plumbing,Low Risk,20160411,103150,2016-04-11,0,0,0,0,0,1,0
2054,2054,2054,8863,77973,First Korean Market,4625 Geary Blvd,San Francisco,CA,94118,,,,,77973_20160420,4/20/2016 0:00,80.0,Routine - Unscheduled,77973_20160420_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20160420,103119,2016-04-20,0,0,5,0,0,6,2
2081,2081,2081,9039,78911,Samovar Tea Mission LLC,411 Valencia St,San Francisco,CA,94103,,,,14155624700.0,78911_20161005,10/5/2016 0:00,94.0,Routine - Unscheduled,78911_20161005_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20161005,103144,2016-10-05,2,0,0,0,2,0,1
2090,2090,2090,9073,74989,The Fillmore,1805 Geary Blvd,San Francisco,CA,94115,,,,,74989_20160930,9/30/2016 0:00,92.0,Routine - Unscheduled,74989_20160930_103132,Improper thawing methods,Moderate Risk,20160930,103132,2016-09-30,0,0,0,0,0,2,0
2093,2093,2093,9095,78996,Beeps Burgers,1051 Ocean Ave,San Francisco,CA,94112,,,,14155582650.0,78996_20160504,5/4/2016 0:00,94.0,Routine - Unscheduled,78996_20160504_103154,Unclean or degraded floors walls or ceilings,Low Risk,20160504,103154,2016-05-04,0,0,1,0,2,3,1
2097,2097,2097,9117,75962,Castillito Yocateco,2052 Mission St,San Francisco,CA,94110,,,,14155625510.0,75962_20160822,8/22/2016 0:00,94.0,Routine - Unscheduled,75962_20160822_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20160822,103144,2016-08-22,2,0,0,0,0,2,1
2098,2098,2098,9119,80887,Supercue Cafe,1330 Ocean Ave,San Francisco,CA,94112,,,,14158895188.0,80887_20160412,4/12/2016 0:00,89.0,Routine - Unscheduled,80887_20160412_103103,High risk food holding temperature,High Risk,20160412,103103,2016-04-12,5,0,0,4,2,3,3
2102,2102,2102,9169,72107,The Cavalier IRD Kitchen,55 05th St,San Francisco,CA,94103,,,,,72107_20160613,6/13/2016 0:00,96.0,Routine - Unscheduled,72107_20160613_103142,Unclean nonfood contact surfaces,Low Risk,20160613,103142,2016-06-13,2,0,0,0,3,2,0
2116,2116,2116,9251,77162,Ramen Yamadaya,1728 Buchanan St,San Francisco,CA,94115,,,,,77162_20160419,4/19/2016 0:00,83.0,Routine - Unscheduled,77162_20160419_103120,Moderate risk food holding temperature,Moderate Risk,20160419,103120,2016-04-19,0,0,0,0,0,4,0
2121,2121,2121,9284,82909,Belga,2000 Union St,San Francisco,CA,94123,,,,,82909_20160912,9/12/2016 0:00,93.0,Routine - Unscheduled,82909_20160912_103105,Improper cooling methods,High Risk,20160912,103105,2016-09-12,0,4,0,0,0,1,4
2127,2127,2127,9307,86172,Hall of Flame Burgers,73 Cambon St,San Francisco,CA,94132,,,,14155584444.0,86172_20160115,1/15/2016 0:00,98.0,Routine - Unscheduled,86172_20160115_103157,Food safety certificate or food handler card not available,Low Risk,20160115,103157,2016-01-15,1,0,0,0,2,4,1
2128,2128,2128,9311,70044,Me So Hungry,Off The Grid,San Francisco,CA,,,,,,70044_20160514,5/14/2016 0:00,87.0,Routine - Unscheduled,70044_20160514_103157,Food safety certificate or food handler card not available,Low Risk,20160514,103157,2016-05-14,0,0,0,0,0,4,2
2129,2129,2129,9317,78699,El Sur LLC #2,Off The Grid,San Francisco,CA,,,,,,78699_20160121,1/21/2016 0:00,,Structural Inspection,78699_20160121_103148,No thermometers or uncalibrated thermometers,Low Risk,20160121,103148,2016-01-21,0,0,0,0,0,3,1
2139,2139,2139,9393,76142,Bon Appetit Management Co.,555 California St 51st Floor,San Francisco,CA,94104,,,,,76142_20160824,8/24/2016 0:00,94.0,Routine - Unscheduled,76142_20160824_103143,Inadequate warewashing facilities or equipment,Low Risk,20160824,103143,2016-08-24,0,1,0,0,0,3,2
2140,2140,2140,9394,75575,Git Hub,88 Colin P. Kelly Jr. St,San Francisco,CA,94107,,,,,75575_20160824,8/24/2016 0:00,86.0,Routine - Unscheduled,75575_20160824_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20160824,103119,2016-08-24,0,0,0,0,0,4,0
2146,2146,2146,9431,5322,Crab Station at Fisherman's Wharf,Pier 45  Shed B Unit D,San Francisco,CA,94133,,,,,5322_20150408,4/8/2015 0:00,94.0,Routine - Unscheduled,5322_20150408_103133,Foods not protected from contamination,Moderate Risk,20150408,103133,2015-04-08,0,2,0,0,0,1,2
2150,2150,2150,9464,84899,Paramo Coffee,57 09th St,San Francisco,CA,94103,,,,,84899_20161212,12/12/2016 0:00,92.0,Routine - Unscheduled,84899_20161212_103120,Moderate risk food holding temperature,Moderate Risk,20161212,103120,2016-12-12,1,0,0,0,2,1,0
2160,2160,2160,9538,76905,Presidio Pizza Company,1862 Divisadero St,San Francisco,CA,94115,,,,,76905_20170227,2/27/2017 0:00,84.0,Routine - Unscheduled,76905_20170227_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20170227,103144,2017-02-27,0,0,0,0,3,2,0
2183,2183,2183,9742,73860,Ben & Jerry's,5913 03rd St,San Francisco,CA,94124,,,,,73860_20150318,3/18/2015 0:00,96.0,Routine - Unscheduled,73860_20150318_103131,Moderate risk vermin infestation,Moderate Risk,20150318,103131,2015-03-18,0,0,0,0,2,0,1
2208,2208,2208,9892,80832,Liquid Culture,170 A South Van Ness St,San Francisco,CA,94103,,,,14150428898.0,80832_20160526,5/26/2016 0:00,87.0,Routine - Unscheduled,80832_20160526_103147,Inadequate ventilation or lighting,Low Risk,20160526,103147,2016-05-26,3,0,0,0,4,3,0
2240,2240,2240,10069,79196,Veraci Pizza,32 06th St,San Francisco,CA,94103,,,,,79196_20160614,6/14/2016 0:00,84.0,Routine - Unscheduled,79196_20160614_103157,Food safety certificate or food handler card not available,Low Risk,20160614,103157,2016-06-14,2,0,0,0,5,6,0
2244,2244,2244,10087,75850,Emo's Cafe & Deli,201 A Turk St,San Francisco,CA,94102,,,,,75850_20160711,7/11/2016 0:00,90.0,Routine - Unscheduled,75850_20160711_103157,Food safety certificate or food handler card not available,Low Risk,20160711,103157,2016-07-11,2,0,3,0,0,4,3
2250,2250,2250,10110,84856,Washington Square Inn,1660 Stockton St,San Francisco,CA,94133,,,,,84856_20150918,9/18/2015 0:00,94.0,Routine - Unscheduled,84856_20150918_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20150918,103144,2015-09-18,0,0,0,0,0,2,2
2252,2252,2252,10145,76595,Joo Mak,4828 Geary Blvd,San Francisco,CA,94118,,,,,76595_20150402,4/2/2015 0:00,96.0,Routine - Unscheduled,76595_20150402_103142,Unclean nonfood contact surfaces,Low Risk,20150402,103142,2015-04-02,0,0,0,0,5,0,2
2257,2257,2257,10170,78668,Wicked Grounds,289 08th St,San Francisco,CA,94103,,,,,78668_20160822,8/22/2016 0:00,96.0,Routine - Unscheduled,78668_20160822_103142,Unclean nonfood contact surfaces,Low Risk,20160822,103142,2016-08-22,1,0,0,0,3,2,0
2270,2270,2270,10263,76442,Long Bridge Pizza Company,2347 03rd St,San Francisco,CA,94107,,,,,76442_20151001,10/1/2015 0:00,93.0,Routine - Unscheduled,76442_20151001_103105,Improper cooling methods,High Risk,20151001,103105,2015-10-01,0,0,0,0,0,0,1
2299,2299,2299,10470,86386,Fresh Meat Seafood Market,2704 Mission St,San Francisco,CA,94110,,,,14155558044.0,86386_20160216,2/16/2016 0:00,,New Ownership,86386_20160216_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20160216,103144,2016-02-16,0,0,3,0,0,2,3
2312,2312,2312,10558,68428,Cafe Coco,4201 geary Blvd,San Francisco,CA,94118,,,,,68428_20150805,8/5/2015 0:00,90.0,Routine - Unscheduled,68428_20150805_103157,Food safety certificate or food handler card not available,Low Risk,20150805,103157,2015-08-05,0,3,0,0,3,5,4
2321,2321,2321,10635,85317,Curry Up Now,Approved Locations,San Francisco,CA,,,,,14155827000.0,85317_20160709,7/9/2016 0:00,84.0,Routine - Unscheduled,85317_20160709_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160709,103124,2016-07-09,0,0,0,3,0,5,0
2341,2341,2341,10792,80068,BOWL'D ACAI,Off The Grid,San Francisco,CA,,,,,,80068_20150426,4/26/2015 0:00,96.0,Routine - Unscheduled,80068_20150426_103145,Improper storage of equipment utensils or linens,Low Risk,20150426,103145,2015-04-26,0,3,0,0,0,2,2
2345,2345,2345,10838,85558,Rill's Chimney Cake,Approved Private Locations,San Francisco,CA,94114,,,,,85558_20161213,12/13/2016 0:00,96.0,Routine - Unscheduled,85558_20161213_103120,Moderate risk food holding temperature,Moderate Risk,20161213,103120,2016-12-13,0,0,2,0,2,0,0
2364,2364,2364,11027,88760,Coin-Op Game Room,508 04th St,San Francisco,CA,94107,,,,,88760_20171218,12/18/2017 0:00,92.0,Routine - Unscheduled,88760_20171218_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20171218,103149,2017-12-18,0,3,0,0,2,0,0
2366,2366,2366,11034,73871,Grand Hotpot Lounge Inc.,3565 Geary Blvd,San Francisco,CA,94118,,,,14155307082.0,73871_20150901,9/1/2015 0:00,80.0,Routine - Unscheduled,73871_20150901_103154,Unclean or degraded floors walls or ceilings,Low Risk,20150901,103154,2015-09-01,0,5,0,0,0,0,4
2382,2382,2382,11176,69691,1601 Bar & Kitchen,1601 HOWARD St,San Francisco,CA,94103,,,,,69691_20160311,3/11/2016 0:00,89.0,Routine - Unscheduled,69691_20160311_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160311,103124,2016-03-11,0,0,4,0,0,0,2
2388,2388,2388,11213,86146,New Magic Wok Restaurant,84 9th St,San Francisco,CA,94103,,,,,86146_20160225,2/25/2016 0:00,78.0,Routine - Unscheduled,86146_20160225_103133,Foods not protected from contamination,Moderate Risk,20160225,103133,2016-02-25,0,0,0,0,5,0,4
